Código;Nombre;Descripción;Categoría;Precio normal;Precio mayorista;Stock;Stock minimo;Imagen
ACC-0001;Caiman irrompible;Diseño resistente para una sujeción práctica y duradera.;Accesorios;7000;3500;520;96;ACC-0001.jpg
ACC-0002;Caimán Flor Hawaii;Diseño floral estilo Hawaii con acabado ojo de gato.;Accesorios;5600;2800;538;96;ACC-0002.jpg
ACC-0003;Peineta;Diseño decorativo con detalles en estilo Murano.;Accesorios;18000;9000;510;72;ACC-0003.jpg
ACC-0004;Diadema;Estampado de fresas en tonos pastel, con un diseño delicado y femenino.;Accesorios;5800;2900;545;96;ACC-0004.jpg
ACC-0005;Bamba tipo pañoleta;Diseño corto tipo pañoleta con estampado de cerezas.;Accesorios;4000;2000;570;96;ACC-0005.png
ACC-0006;Bamba estampada;Diseños y estampados surtidos para complementar diferentes looks.;Accesorios;3800;1900;580;108;ACC-0006.jpg
ACC-0007;Bamba de satín;Elaborada en satín con aplique decorativo de moño en velo.;Accesorios;3800;1900;560;96;ACC-0007.jpg
ACC-0008;Bamba de satín tipo moño;Tela en satín, colores surtidos y estampado de corazones.;Accesorios;6600;2300;530;96;ACC-0008.jpg
ACC-0009;Set pinza con colero;Tonos vino tinto con estampado decorativo y diseño coordinado.;Accesorios;4400;2200;415;84;ACC-0009.jpg
ACC-0010;Set de pinzas x2;Dos unidades con estampados surtidos y diseños variados.;Accesorios;3800;1900;528;96;ACC-0010.jpg
ACC-0011;Caimán pequeño;Diseños surtidos con divertidas figuras de animales.;Accesorios;3000;1500;560;108;"ACC-0011-01.jpg; ACC-0011-02.jpg, ACC-0011-03.jpg"
ACC-0012;Set de pinzas;Diseño decorativo con figuras de cerezas y estilo delicado.;Accesorios;4200;1200;520;96;ACC-0012.jpg
ACC-0013;Set de pinzas con moño;Diseño de cerezas con detalle de moño y acabado decorativo.;Accesorios;4600;2300;536;96;ACC-0013.jpg
ACC-0014;Set de pinzas tejido;Diseño de cerezas con acabado tejido y estilo delicado.;Accesorios;5400;2700;555;96;ACC-0014.jpg
ACC-0015;Colero tipo pañoleta;Estampado de cerezas que aporta un detalle divertido y femenino al peinado.;Accesorios;3800;1900;585;108;ACC-0015.jpg
ACC-0016;Bamba en satín;Suave acabado satinado con cerezas en tonos pastel, ideal para un toque romántico.;Accesorios;3800;1900;585;108;ACC-0016.jpg
